ID	alt.ID	metabolism	pOT6.1	pOT6.2	pOT6.3	pOT6.4	pOT6.5	pOT10.2	pOT10.3	pOT10.4	pOT10.5	pHA6.1	pHA6.2	pHA6.3	pHA6.4	pHA6.5	pHA10.2	pHA10.3	pHA10.4	pHA10.5	pKV6.1	pKV6.2	pKV6.3	pKV6.4	pKV6.5	pKV10.2	pKV10.3	pKV10.4	pKV10.5	pVA6.1	pVA6.2	pVA6.3	pVA6.5	pVA10.1	pVA10.2	pVA10.3	pVA10.4
TR10002|c2_g2_i7|m.53772	NA	NA	26.1879	26.33023	25.97334	25.51078	25.71169	25.95462	25.22255	25.35316	26.07812	26.0151	26.07112	25.75812	25.47001	25.83021	25.59656	25.18321	22.24307	25.71523	26.31244	25.86259	25.61161	26.10973	25.73405	26.44237	26.02428	25.45485	26.02701	25.8056	26.39743	25.95757	25.51701	25.35286	25.88232	25.41002	25.88997
TR10008|c0_g1_i1|m.54163	NA	NA	23.14692	23.72879	21.48124	22.93887	21.49214	22.17986	22.54803	21.54854	23.56628	24.88152	23.74417	24.54998	22.5311	22.65119	20.91232	23.39519	23.7544	21.45844	26.37411	23.10164	24.69057	24.32402	24.79714	23.20976	23.9393	21.10021	26.93055	21.94203	23.16071	23.45137	21.64557	22.38953	21.46369	21.70345	23.44947
TR10020|c5_g3_i6|m.55274	NA	NA	28.4122	28.10644	28.32633	27.61098	27.78868	28.14802	27.52028	27.83659	28.20713	27.86791	28.02496	27.5658	27.54149	27.53712	28.37687	28.37252	27.51856	28.0463	27.71463	27.87173	27.44443	27.91553	27.58706	28.29968	28.12307	27.84834	28.09361	28.28069	27.9975	28.19404	27.84506	28.16605	28.00131	28.0874	27.92886
TR10021|c1_g2_i1|m.55337	NA	NA	27.98669	27.64279	27.94899	27.98956	28.14054	27.70319	28.46634	27.87291	28.2795	28.5045	28.30195	28.4032	28.4624	28.63187	29.00745	28.87405	28.54797	28.8162	27.23991	27.42958	27.66003	27.2699	27.52515	27.75111	27.70932	28.24282	27.87015	27.95033	27.52761	27.60851	28.10964	28.67516	27.95787	28.83476	28.31993
TR10403|c1_g1_i1|m.57462	NA	NA	26.30828	26.14059	26.62631	26.94804	26.90472	27.02865	26.90679	27.36953	26.03023	25.53774	26.37602	25.49653	26.91354	25.71303	26.57016	25.74602	26.06952	26.94201	25.51223	26.63353	26.19227	26.38311	25.92237	26.23394	26.03366	26.63492	25.4455	26.39966	26.50733	26.63298	26.47836	27.05714	26.69166	26.62282	26.72182
TR10466|c0_g1_i4|m.58380	NA	NA	27.59598	27.39828	27.64753	27.47785	27.67647	27.84529	27.58169	27.8562	27.31709	27.13897	27.43698	27.19216	27.62979	27.30522	27.48762	27.36553	27.54893	27.68104	26.86514	27.67175	27.41418	27.50142	27.12524	27.3982	27.42414	27.59092	26.82857	27.33458	27.45113	27.61414	27.47514	27.8562	27.57326	27.51036	27.54621
TR10856|c0_g1_i2|m.59620	NA	NA	27.40332	27.13907	27.17188	27.48485	27.49473	27.19938	27.77348	27.54267	27.09547	27.20452	27.20853	26.58764	27.16624	27.1059	27.39934	27.21632	27.17427	27.43492	26.70991	26.98902	27.11674	27.00357	26.98098	27.21234	27.2507	27.73014	26.97978	27.48961	27.23745	27.19348	27.37352	27.63658	27.51187	27.61786	27.55179
TR10882|c1_g1_i8|m.60091	TR10882|c1_g1_i7|m.60085	NA	25.80737	26.02756	25.80361	25.94978	26.04039	26.19071	25.59881	25.9297	25.74006	25.75101	25.62048	25.46871	25.43911	25.90387	26.21924	25.88479	25.54348	25.89918	25.81909	25.22185	25.48013	25.78826	25.64306	25.68255	25.72513	25.81995	25.61352	25.76737	26.1031	25.98509	25.93856	25.51692	26.13483	26.11158	25.80174
TR10886|c0_g1_i1|m.60182	NA	NA	24.93067	24.84048	24.05109	24.75934	24.70757	24.35998	25.06402	23.77816	24.46551	24.53961	24.97097	24.31271	24.3232	24.43663	24.24583	24.02369	23.86079	23.94753	24.45312	24.41274	24.8447	24.78122	24.37829	24.54998	24.13555	24.34793	24.73092	24.53214	24.44891	24.52247	24.49546	24.31893	24.19144	24.65556	24.22523
TR10905|c3_g1_i2|m.60585	NA	TRUE	29.62106	29.27449	29.4812	29.41438	29.99725	29.32648	30.04049	29.51681	29.50235	29.26519	29.46974	29.01728	29.47458	29.49244	29.27779	29.40973	29.41879	29.58488	28.88475	29.63789	29.52146	29.42067	29.50251	29.34647	29.29588	29.82478	28.92388	29.72853	29.2425	29.3442	29.75446	29.96265	29.63079	29.7839	29.69124
